CCTV中央频道,#genre#
CCTV1HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231468/index.m3u8
CCTV1HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231471/index.m3u8
CCTV2HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221232362/index.m3u8
CCTV2HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231678/index.m3u8
CCTV3HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231682/index.m3u8
CCTV3HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231528/index.m3u8
CCTV4HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231726/index.m3u8
CCTV4-欧洲HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231615/index.m3u8
CCTV4-美洲HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231654/index.m3u8
CCTV5+HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231459/index.m3u8
CCTV5+HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231535/index.m3u8
CCTV6HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231724/index.m3u8
CCTV7HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231633/index.m3u8
CCTV8HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231694/index.m3u8
CCTV9HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231697/index.m3u8
CCTV10HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221232492/index.m3u8
CCTV10HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231666/index.m3u8
CCTV11HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231711/index.m3u8
CCTV12HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231660/index.m3u8
CCTV13HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231636/index.m3u8
CCTV14HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231648/index.m3u8
CCTV15HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231693/index.m3u8
CCTV16,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233409/index.m3u8
CCTV16,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233410/index.m3u8
CCTV16,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233442/index.m3u8
CCTV16,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233403/index.m3u8
CCTV16,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233392/index.m3u8
CCTV16,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233398/index.m3u8
CCTV16,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233406/index.m3u8
CCTV17HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231772/index.m3u8
CCTV4K,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233454/index.m3u8
CCTV4K,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233400/index.m3u8
CCTV8K,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233413/index.m3u8
CCTV8K,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233404/index.m3u8
CCTV8K,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233350/index.m3u8
CCTV怀旧剧场,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231544/index.m3u8
CCTV第一剧场,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231540/index.m3u8
CCTV风云剧场,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231604/index.m3u8
CCTV风云足球,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231547/index.m3u8
CCTV世界地理,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231537/index.m3u8
CCTV女性时尚,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231598/index.m3u8
CCTV央视台球,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231616/index.m3u8
CCTV高尔夫网球,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231619/index.m3u8
